Ticker,close,date,high,low,month,open,volume,symbol
ADANIENT,2362.7,2023-12-01_05-30-00,2403.35,2354.1,2023-12,2370.0,1792983,ADANIENT
ADANIENT,2531.2,2023-12-04_05-30-00,2595.0,2487.45,2023-12,2549.95,5681516,ADANIENT
ADANIENT,2959.35,2023-12-05_05-30-00,2999.9,2531.2,2023-12,2531.2,22879079,ADANIENT
ADANIENT,2883.95,2023-12-06_05-30-00,3154.55,2844.85,2023-12,3080.0,19355777,ADANIENT
ADANIENT,2887.15,2023-12-07_05-30-00,2945.9,2853.05,2023-12,2900.0,6325887,ADANIENT
ADANIENT,2822.15,2023-12-08_05-30-00,2927.0,2760.0,2023-12,2902.7,6959428,ADANIENT
ADANIENT,2855.8,2023-12-11_05-30-00,2919.9,2811.05,2023-12,2837.05,5064123,ADANIENT
ADANIENT,2857.65,2023-12-12_05-30-00,2895.95,2840.55,2023-12,2869.1,2017772,ADANIENT
ADANIENT,2875.05,2023-12-13_05-30-00,2899.1,2805.0,2023-12,2860.0,2805832,ADANIENT
ADANIENT,2894.05,2023-12-14_05-30-00,2932.95,2887.0,2023-12,2900.95,3224681,ADANIENT
ADANIENT,2991.8,2023-12-15_05-30-00,3000.0,2893.9,2023-12,2912.05,4921484,ADANIENT
ADANIENT,2980.6,2023-12-18_05-30-00,3027.75,2961.1,2023-12,2993.95,2315922,ADANIENT
ADANIENT,2941.25,2023-12-19_05-30-00,2994.35,2915.0,2023-12,2988.8,1741493,ADANIENT
ADANIENT,2783.85,2023-12-20_05-30-00,2968.0,2766.2,2023-12,2946.0,3417739,ADANIENT
ADANIENT,2799.75,2023-12-21_05-30-00,2821.95,2725.0,2023-12,2750.0,2678577,ADANIENT
ADANIENT,2808.35,2023-12-22_05-30-00,2847.6,2791.4,2023-12,2815.95,1513956,ADANIENT
ADANIENT,2865.45,2023-12-26_05-30-00,2893.75,2800.1,2023-12,2817.0,2048484,ADANIENT
ADANIENT,2843.35,2023-12-27_05-30-00,2894.8,2833.6,2023-12,2880.7,1698325,ADANIENT
ADANIENT,2809.9,2023-12-28_05-30-00,2867.35,2800.1,2023-12,2855.0,4102912,ADANIENT
ADANIENT,2848.95,2023-12-29_05-30-00,2863.3,2802.85,2023-12,2823.9,1507086,ADANIENT
ADANIENT,2917.2,2024-01-01_05-30-00,2947.0,2842.05,2024-01,2852.3,2898619,ADANIENT
ADANIENT,2932.4,2024-01-02_05-30-00,2948.2,2841.0,2024-01,2922.0,2671368,ADANIENT
ADANIENT,3003.0,2024-01-03_05-30-00,3199.0,2955.6,2024-01,3047.0,19725411,ADANIENT
ADANIENT,2998.3,2024-01-04_05-30-00,3044.45,2990.0,2024-01,3039.4,2975620,ADANIENT
ADANIENT,3006.6,2024-01-05_05-30-00,3066.9,2981.1,2024-01,3009.95,3219949,ADANIENT
ADANIENT,2963.5,2024-01-08_05-30-00,3027.0,2952.95,2024-01,3020.0,1849061,ADANIENT
ADANIENT,3014.6,2024-01-09_05-30-00,3068.8,2980.0,2024-01,2990.7,2885706,ADANIENT
ADANIENT,3098.2,2024-01-10_05-30-00,3112.0,3020.05,2024-01,3024.0,3590297,ADANIENT
ADANIENT,3080.9,2024-01-11_05-30-00,3129.0,3065.0,2024-01,3120.0,2008103,ADANIENT
ADANIENT,3104.1,2024-01-12_05-30-00,3125.0,3068.2,2024-01,3096.35,1795933,ADANIENT
ADANIENT,3089.5,2024-01-15_05-30-00,3130.0,3067.45,2024-01,3127.0,1407007,ADANIENT
ADANIENT,3056.5,2024-01-16_05-30-00,3104.5,3035.0,2024-01,3095.0,2515564,ADANIENT
ADANIENT,2971.05,2024-01-17_05-30-00,3045.0,2946.3,2024-01,3033.0,2897218,ADANIENT
ADANIENT,2918.9,2024-01-18_05-30-00,2985.0,2885.1,2024-01,2975.55,2552342,ADANIENT
ADANIENT,2915.65,2024-01-19_05-30-00,2949.45,2903.05,2024-01,2945.35,2014096,ADANIENT
ADANIENT,2987.9,2024-01-20_05-30-00,3015.85,2890.5,2024-01,2930.0,1878793,ADANIENT
ADANIENT,2896.55,2024-01-23_05-30-00,3014.95,2885.5,2024-01,3014.95,1827002,ADANIENT
ADANIENT,2903.45,2024-01-24_05-30-00,2929.1,2871.25,2024-01,2901.0,5807940,ADANIENT
ADANIENT,2893.6,2024-01-25_05-30-00,2926.35,2804.4,2024-01,2903.45,2601969,ADANIENT
ADANIENT,3064.65,2024-01-29_05-30-00,3092.7,2923.05,2024-01,2929.0,4402976,ADANIENT
ADANIENT,3091.1,2024-01-30_05-30-00,3129.9,3020.9,2024-01,3081.0,3115506,ADANIENT
ADANIENT,3142.0,2024-01-31_05-30-00,3151.7,3072.4,2024-01,3092.75,2671051,ADANIENT
ADANIENT,3153.5,2024-02-01_05-30-00,3236.95,3083.05,2024-02,3156.9,4686595,ADANIENT
ADANIENT,3157.45,2024-02-02_05-30-00,3208.5,3140.0,2024-02,3184.95,2708695,ADANIENT
ADANIENT,3173.45,2024-02-05_05-30-00,3229.4,3151.45,2024-02,3170.0,2191195,ADANIENT
ADANIENT,3203.75,2024-02-06_05-30-00,3228.2,3160.0,2024-02,3183.9,2078891,ADANIENT
ADANIENT,3229.85,2024-02-07_05-30-00,3277.95,3210.0,2024-02,3220.05,2095911,ADANIENT
ADANIENT,3168.6,2024-02-08_05-30-00,3245.6,3146.1,2024-02,3245.6,1679004,ADANIENT
ADANIENT,3215.2,2024-02-09_05-30-00,3224.95,3121.2,2024-02,3184.45,1572789,ADANIENT
ADANIENT,3169.75,2024-02-12_05-30-00,3241.95,3160.0,2024-02,3229.0,1083138,ADANIENT
ADANIENT,3178.45,2024-02-13_05-30-00,3194.0,3092.05,2024-02,3180.0,1225207,ADANIENT
ADANIENT,3207.2,2024-02-14_05-30-00,3255.25,3169.85,2024-02,3184.0,1741264,ADANIENT
ADANIENT,3193.8,2024-02-15_05-30-00,3252.75,3184.05,2024-02,3219.85,2035204,ADANIENT
ADANIENT,3223.6,2024-02-16_05-30-00,3252.3,3192.65,2024-02,3214.0,2193673,ADANIENT
ADANIENT,3258.8,2024-02-19_05-30-00,3308.6,3235.8,2024-02,3240.0,1779444,ADANIENT
ADANIENT,3228.6,2024-02-20_05-30-00,3269.8,3210.15,2024-02,3267.0,1467630,ADANIENT
ADANIENT,3223.2,2024-02-21_05-30-00,3300.0,3205.0,2024-02,3238.0,1657021,ADANIENT
ADANIENT,3263.05,2024-02-22_05-30-00,3274.0,3210.5,2024-02,3239.0,1138722,ADANIENT
ADANIENT,3273.3,2024-02-23_05-30-00,3319.95,3225.1,2024-02,3263.05,1975035,ADANIENT
ADANIENT,3327.75,2024-02-26_05-30-00,3344.0,3263.0,2024-02,3272.0,1695378,ADANIENT
ADANIENT,3302.3,2024-02-27_05-30-00,3340.0,3273.0,2024-02,3339.0,1125570,ADANIENT
ADANIENT,3219.0,2024-02-28_05-30-00,3318.8,3207.5,2024-02,3309.2,1358879,ADANIENT
ADANIENT,3285.4,2024-02-29_05-30-00,3304.75,3205.35,2024-02,3220.05,1352988,ADANIENT
ADANIENT,3318.75,2024-03-01_05-30-00,3346.0,3281.8,2024-03,3309.85,1161067,ADANIENT
ADANIENT,3333.25,2024-03-02_05-30-00,3348.7,3321.5,2024-03,3332.0,119511,ADANIENT
ADANIENT,3317.15,2024-03-04_05-30-00,3350.0,3310.05,2024-03,3335.0,1061244,ADANIENT
ADANIENT,3310.2,2024-03-05_05-30-00,3334.0,3295.05,2024-03,3325.3,1190416,ADANIENT
ADANIENT,3233.95,2024-03-06_05-30-00,3323.0,3183.15,2024-03,3323.0,1935203,ADANIENT
ADANIENT,3226.55,2024-03-07_05-30-00,3262.0,3220.0,2024-03,3240.0,856328,ADANIENT
ADANIENT,3207.35,2024-03-11_05-30-00,3259.0,3200.0,2024-03,3241.2,738851,ADANIENT
ADANIENT,3122.5,2024-03-12_05-30-00,3222.7,3111.0,2024-03,3207.35,1199487,ADANIENT
ADANIENT,2906.2,2024-03-13_05-30-00,3138.05,2850.15,2024-03,3125.0,3407040,ADANIENT
ADANIENT,3087.45,2024-03-14_05-30-00,3101.2,2880.0,2024-03,2927.45,3759100,ADANIENT
ADANIENT,3132.2,2024-03-15_05-30-00,3143.4,3061.25,2024-03,3111.0,2199094,ADANIENT
ADANIENT,3111.75,2024-03-18_05-30-00,3124.0,2976.05,2024-03,3050.1,3042515,ADANIENT
ADANIENT,3052.7,2024-03-19_05-30-00,3164.8,3041.85,2024-03,3126.0,1460452,ADANIENT
ADANIENT,3051.45,2024-03-20_05-30-00,3083.2,3021.1,2024-03,3075.0,966481,ADANIENT
ADANIENT,3066.5,2024-03-21_05-30-00,3107.1,3059.6,2024-03,3089.55,1175751,ADANIENT
ADANIENT,3107.7,2024-03-22_05-30-00,3128.95,3048.05,2024-03,3066.55,951557,ADANIENT
ADANIENT,3109.95,2024-03-26_05-30-00,3171.95,3089.1,2024-03,3100.5,937103,ADANIENT
ADANIENT,3122.1,2024-03-27_05-30-00,3138.45,3106.25,2024-03,3115.0,900231,ADANIENT
ADANIENT,3197.1,2024-03-28_05-30-00,3237.0,3096.75,2024-03,3134.0,2327053,ADANIENT
ADANIENT,3252.1,2024-04-01_05-30-00,3291.8,3207.85,2024-04,3230.2,1292646,ADANIENT
ADANIENT,3268.75,2024-04-02_05-30-00,3285.0,3240.0,2024-04,3258.95,868829,ADANIENT
ADANIENT,3233.45,2024-04-03_05-30-00,3260.15,3222.0,2024-04,3250.0,1153109,ADANIENT
ADANIENT,3210.8,2024-04-04_05-30-00,3273.0,3201.7,2024-04,3250.0,1403826,ADANIENT
ADANIENT,3224.8,2024-04-05_05-30-00,3234.0,3178.95,2024-04,3211.1,755607,ADANIENT
ADANIENT,3224.55,2024-04-08_05-30-00,3243.5,3197.2,2024-04,3240.95,577440,ADANIENT
ADANIENT,3198.45,2024-04-09_05-30-00,3251.0,3185.0,2024-04,3240.7,833679,ADANIENT
ADANIENT,3242.0,2024-04-10_05-30-00,3254.6,3192.5,2024-04,3200.0,1441138,ADANIENT
ADANIENT,3209.9,2024-04-12_05-30-00,3247.5,3205.3,2024-04,3210.0,705173,ADANIENT
ADANIENT,3147.45,2024-04-15_05-30-00,3180.3,3103.2,2024-04,3150.0,1035378,ADANIENT
ADANIENT,3106.4,2024-04-16_05-30-00,3149.2,3100.0,2024-04,3101.0,1134184,ADANIENT
ADANIENT,3019.3,2024-04-18_05-30-00,3145.0,3008.3,2024-04,3125.15,1703646,ADANIENT
ADANIENT,3026.95,2024-04-19_05-30-00,3057.05,2962.5,2024-04,3000.0,1727317,ADANIENT
ADANIENT,3063.35,2024-04-22_05-30-00,3077.5,3025.0,2024-04,3053.0,993929,ADANIENT
ADANIENT,3065.1,2024-04-23_05-30-00,3091.0,3043.1,2024-04,3059.0,1654272,ADANIENT
ADANIENT,3043.55,2024-04-24_05-30-00,3087.85,3040.0,2024-04,3071.95,605917,ADANIENT
ADANIENT,3115.25,2024-04-25_05-30-00,3120.9,3025.65,2024-04,3050.0,1515529,ADANIENT
ADANIENT,3080.4,2024-04-26_05-30-00,3129.9,3066.05,2024-04,3119.9,662764,ADANIENT
ADANIENT,3081.2,2024-04-29_05-30-00,3110.5,3051.5,2024-04,3110.0,648544,ADANIENT
ADANIENT,3054.7,2024-04-30_05-30-00,3108.45,3045.0,2024-04,3094.0,804552,ADANIENT
ADANIENT,3039.6,2024-05-02_05-30-00,3119.85,3015.05,2024-05,3071.95,2219085,ADANIENT
ADANIENT,2993.25,2024-05-03_05-30-00,3045.0,2975.1,2024-05,3030.0,1472168,ADANIENT
ADANIENT,2874.65,2024-05-06_05-30-00,3000.2,2850.0,2024-05,2993.25,2377944,ADANIENT
ADANIENT,2835.95,2024-05-07_05-30-00,2905.35,2822.0,2024-05,2889.95,1262311,ADANIENT
ADANIENT,2860.55,2024-05-08_05-30-00,2890.9,2820.0,2024-05,2850.0,951411,ADANIENT
ADANIENT,2766.65,2024-05-09_05-30-00,2883.65,2756.0,2024-05,2864.8,1485510,ADANIENT
ADANIENT,2797.25,2024-05-10_05-30-00,2809.0,2760.45,2024-05,2794.95,2354794,ADANIENT
ADANIENT,2879.6,2024-05-13_05-30-00,2890.0,2790.5,2024-05,2803.0,3784373,ADANIENT
ADANIENT,3037.55,2024-05-14_05-30-00,3046.0,2874.55,2024-05,2894.95,5725807,ADANIENT
ADANIENT,3049.75,2024-05-15_05-30-00,3118.85,3037.6,2024-05,3046.75,1688836,ADANIENT
ADANIENT,3041.65,2024-05-16_05-30-00,3076.95,2974.95,2024-05,3065.0,1835312,ADANIENT
ADANIENT,3060.5,2024-05-17_05-30-00,3091.0,3015.5,2024-05,3041.05,825436,ADANIENT
ADANIENT,3059.75,2024-05-18_05-30-00,3074.0,3055.0,2024-05,3074.0,74336,ADANIENT
ADANIENT,3117.5,2024-05-21_05-30-00,3175.0,3034.5,2024-05,3067.9,3091659,ADANIENT
ADANIENT,3140.95,2024-05-22_05-30-00,3145.0,3073.5,2024-05,3129.95,3371077,ADANIENT
ADANIENT,3387.3,2024-05-23_05-30-00,3406.0,3135.55,2024-05,3156.7,6979082,ADANIENT
ADANIENT,3384.95,2024-05-24_05-30-00,3457.85,3355.6,2024-05,3406.0,3473668,ADANIENT
ADANIENT,3289.05,2024-05-27_05-30-00,3358.0,3267.05,2024-05,3358.0,2582485,ADANIENT
ADANIENT,3244.05,2024-05-28_05-30-00,3329.5,3229.05,2024-05,3309.65,1621168,ADANIENT
ADANIENT,3258.8,2024-05-29_05-30-00,3322.9,3212.0,2024-05,3250.0,1910729,ADANIENT
ADANIENT,3194.25,2024-05-30_05-30-00,3274.3,3174.5,2024-05,3254.0,1990208,ADANIENT
ADANIENT,3411.35,2024-05-31_05-30-00,3434.45,3225.25,2024-05,3225.25,6384589,ADANIENT
ADANIENT,3645.25,2024-06-03_05-30-00,3743.9,3586.05,2024-06,3725.0,8511359,ADANIENT
ADANIENT,2941.25,2024-06-04_05-30-00,3520.0,2733.95,2024-06,3520.0,20306909,ADANIENT
ADANIENT,3115.35,2024-06-05_05-30-00,3150.0,2750.0,2024-06,3030.0,8778345,ADANIENT
ADANIENT,3185.65,2024-06-06_05-30-00,3222.4,3137.15,2024-06,3184.0,5873271,ADANIENT
ADANIENT,3219.55,2024-06-07_05-30-00,3233.75,3151.6,2024-06,3170.4,4740455,ADANIENT
ADANIENT,3220.1,2024-06-10_05-30-00,3284.4,3205.5,2024-06,3267.0,4935698,ADANIENT
ADANIENT,3221.25,2024-06-11_05-30-00,3265.0,3195.05,2024-06,3224.0,4173692,ADANIENT
ADANIENT,3219.05,2024-06-12_05-30-00,3245.0,3208.0,2024-06,3224.9,3022477,ADANIENT
ADANIENT,3224.8,2024-06-13_05-30-00,3254.0,3207.25,2024-06,3230.0,3202978,ADANIENT
ADANIENT,3261.75,2024-06-14_05-30-00,3275.0,3221.1,2024-06,3225.0,4224855,ADANIENT
ADANIENT,3309.05,2024-06-18_05-30-00,3345.0,3287.2,2024-06,3310.0,1755612,ADANIENT
ADANIENT,3261.9,2024-06-19_05-30-00,3314.0,3226.3,2024-06,3314.0,1419264,ADANIENT
ADANIENT,3259.45,2024-06-20_05-30-00,3315.0,3240.0,2024-06,3263.9,1366545,ADANIENT
ADANIENT,3189.3,2024-06-21_05-30-00,3277.1,3176.4,2024-06,3265.05,4697655,ADANIENT
