Ticker,close,date,high,low,month,open,volume,symbol
BEL,147.45,2023-12-01_05-30-00,150.3,146.75,2023-12,147.95,34466616,BEL
BEL,153.55,2023-12-04_05-30-00,157.5,151.6,2023-12,152.0,51416976,BEL
BEL,152.0,2023-12-05_05-30-00,155.1,149.95,2023-12,153.7,29109123,BEL
BEL,156.15,2023-12-06_05-30-00,157.15,151.85,2023-12,152.6,26688698,BEL
BEL,160.35,2023-12-07_05-30-00,161.8,158.25,2023-12,161.8,51346222,BEL
BEL,158.75,2023-12-08_05-30-00,162.35,157.3,2023-12,161.35,22869782,BEL
BEL,161.25,2023-12-11_05-30-00,163.25,159.15,2023-12,159.8,22941648,BEL
BEL,160.8,2023-12-12_05-30-00,162.8,160.0,2023-12,162.45,16306341,BEL
BEL,162.85,2023-12-13_05-30-00,163.9,159.4,2023-12,160.2,16804086,BEL
BEL,164.0,2023-12-14_05-30-00,164.35,162.6,2023-12,163.1,13887946,BEL
BEL,169.05,2023-12-15_05-30-00,170.2,165.25,2023-12,166.0,39766631,BEL
BEL,172.7,2023-12-18_05-30-00,174.35,169.45,2023-12,171.75,35901409,BEL
BEL,173.05,2023-12-19_05-30-00,174.4,171.1,2023-12,172.9,14732129,BEL
BEL,167.25,2023-12-20_05-30-00,176.3,166.15,2023-12,173.75,24511237,BEL
BEL,170.65,2023-12-21_05-30-00,171.85,164.05,2023-12,165.0,22646625,BEL
BEL,174.8,2023-12-22_05-30-00,175.25,169.4,2023-12,171.95,19640046,BEL
BEL,181.95,2023-12-26_05-30-00,184.5,178.0,2023-12,178.0,52736391,BEL
BEL,180.2,2023-12-27_05-30-00,184.9,179.1,2023-12,184.0,26206240,BEL
BEL,182.7,2023-12-28_05-30-00,184.25,180.8,2023-12,181.5,20453485,BEL
BEL,184.2,2023-12-29_05-30-00,185.2,181.1,2023-12,182.95,19305150,BEL
BEL,184.95,2024-01-01_05-30-00,187.0,184.45,2024-01,184.8,18008785,BEL
BEL,182.15,2024-01-02_05-30-00,186.2,179.75,2024-01,186.0,22790965,BEL
BEL,182.35,2024-01-03_05-30-00,184.7,180.6,2024-01,182.35,18738690,BEL
BEL,186.9,2024-01-04_05-30-00,187.65,182.5,2024-01,182.5,25403124,BEL
BEL,185.95,2024-01-05_05-30-00,188.65,184.05,2024-01,187.7,22023938,BEL
BEL,183.6,2024-01-08_05-30-00,187.5,183.2,2024-01,186.75,11472441,BEL
BEL,184.65,2024-01-09_05-30-00,186.7,184.2,2024-01,184.9,11550790,BEL
BEL,185.6,2024-01-10_05-30-00,186.0,182.05,2024-01,184.4,8701594,BEL
BEL,184.35,2024-01-11_05-30-00,187.65,183.8,2024-01,187.0,10942508,BEL
BEL,183.5,2024-01-12_05-30-00,185.5,183.1,2024-01,185.35,8853157,BEL
BEL,188.65,2024-01-15_05-30-00,189.9,184.1,2024-01,184.9,24570393,BEL
BEL,186.8,2024-01-16_05-30-00,190.25,185.1,2024-01,188.9,16471601,BEL
BEL,185.65,2024-01-17_05-30-00,188.5,183.8,2024-01,186.3,16350370,BEL
BEL,188.2,2024-01-18_05-30-00,189.0,180.0,2024-01,185.65,24831623,BEL
BEL,191.85,2024-01-19_05-30-00,193.7,190.0,2024-01,190.0,22303305,BEL
BEL,193.4,2024-01-20_05-30-00,195.0,190.7,2024-01,193.0,12654436,BEL
BEL,187.1,2024-01-23_05-30-00,195.5,184.4,2024-01,195.25,26628471,BEL
BEL,189.25,2024-01-24_05-30-00,190.2,184.0,2024-01,186.8,14742783,BEL
BEL,189.7,2024-01-25_05-30-00,192.0,188.3,2024-01,190.75,12592882,BEL
BEL,190.9,2024-01-29_05-30-00,193.7,187.55,2024-01,190.0,28919512,BEL
BEL,187.9,2024-01-30_05-30-00,192.35,187.0,2024-01,192.0,20894159,BEL
BEL,185.9,2024-01-31_05-30-00,189.1,184.85,2024-01,188.2,23757415,BEL
BEL,183.4,2024-02-01_05-30-00,188.4,181.55,2024-02,187.7,27835431,BEL
BEL,184.6,2024-02-02_05-30-00,187.75,183.85,2024-02,185.0,27710061,BEL
BEL,181.55,2024-02-05_05-30-00,187.0,178.8,2024-02,187.0,23880364,BEL
BEL,183.1,2024-02-06_05-30-00,183.55,180.7,2024-02,182.4,12134363,BEL
BEL,181.7,2024-02-07_05-30-00,184.15,179.65,2024-02,184.15,14192151,BEL
BEL,184.8,2024-02-08_05-30-00,187.1,181.75,2024-02,182.2,29094709,BEL
BEL,180.65,2024-02-09_05-30-00,185.7,176.5,2024-02,185.5,21081134,BEL
BEL,174.65,2024-02-12_05-30-00,183.1,173.65,2024-02,181.25,19640568,BEL
BEL,176.6,2024-02-13_05-30-00,176.9,171.75,2024-02,174.75,13961795,BEL
BEL,181.6,2024-02-14_05-30-00,182.15,175.3,2024-02,177.25,23449380,BEL
BEL,185.95,2024-02-15_05-30-00,186.3,182.6,2024-02,183.0,17335763,BEL
BEL,188.3,2024-02-16_05-30-00,190.4,186.85,2024-02,189.0,29843059,BEL
BEL,188.75,2024-02-19_05-30-00,192.5,188.3,2024-02,189.95,25343215,BEL
BEL,190.65,2024-02-20_05-30-00,191.45,186.25,2024-02,189.1,17809897,BEL
BEL,188.7,2024-02-21_05-30-00,192.55,187.0,2024-02,191.3,17870782,BEL
BEL,194.75,2024-02-22_05-30-00,196.0,188.7,2024-02,189.75,31992371,BEL
BEL,205.3,2024-02-23_05-30-00,207.0,195.95,2024-02,196.3,76179371,BEL
BEL,204.25,2024-02-26_05-30-00,206.9,202.8,2024-02,205.65,27013630,BEL
BEL,205.35,2024-02-27_05-30-00,209.0,203.1,2024-02,203.55,28877205,BEL
BEL,205.65,2024-02-28_05-30-00,209.0,201.45,2024-02,206.2,38996363,BEL
BEL,205.1,2024-02-29_05-30-00,205.9,199.75,2024-02,205.45,24059731,BEL
BEL,205.6,2024-03-01_05-30-00,208.05,204.8,2024-03,205.95,12949604,BEL
BEL,206.75,2024-03-02_05-30-00,207.7,205.9,2024-03,206.0,1497553,BEL
BEL,209.6,2024-03-04_05-30-00,212.95,206.35,2024-03,207.95,34272251,BEL
BEL,210.75,2024-03-05_05-30-00,213.75,209.85,2024-03,211.0,24964592,BEL
