Ticker,close,date,high,low,month,open,volume,symbol
ICICIBANK,946.7,2023-12-01_05-30-00,952.0,933.0,2023-12,935.95,16986046,ICICIBANK
ICICIBANK,991.2,2023-12-04_05-30-00,994.85,961.4,2023-12,963.7,33131257,ICICIBANK
ICICIBANK,1013.45,2023-12-05_05-30-00,1015.75,995.05,2023-12,1002.5,31378461,ICICIBANK
ICICIBANK,1003.25,2023-12-06_05-30-00,1016.25,1000.25,2023-12,1014.0,18786590,ICICIBANK
ICICIBANK,999.0,2023-12-07_05-30-00,1002.2,988.15,2023-12,996.35,11841945,ICICIBANK
ICICIBANK,1010.85,2023-12-08_05-30-00,1012.85,993.25,2023-12,994.5,16116363,ICICIBANK
ICICIBANK,1017.1,2023-12-11_05-30-00,1020.0,1004.65,2023-12,1007.1,11714606,ICICIBANK
ICICIBANK,1015.7,2023-12-12_05-30-00,1021.0,1008.6,2023-12,1017.1,12380856,ICICIBANK
ICICIBANK,1013.9,2023-12-13_05-30-00,1020.7,1009.2,2023-12,1014.8,15887040,ICICIBANK
ICICIBANK,1033.65,2023-12-14_05-30-00,1040.0,1021.25,2023-12,1022.25,16317672,ICICIBANK
ICICIBANK,1037.4,2023-12-15_05-30-00,1043.7,1025.7,2023-12,1043.65,14306067,ICICIBANK
ICICIBANK,1021.45,2023-12-18_05-30-00,1029.95,1018.0,2023-12,1029.95,8592711,ICICIBANK
ICICIBANK,1015.45,2023-12-19_05-30-00,1025.5,1012.6,2023-12,1025.5,10094256,ICICIBANK
ICICIBANK,1006.65,2023-12-20_05-30-00,1022.0,1002.0,2023-12,1022.0,16490281,ICICIBANK
ICICIBANK,1004.4,2023-12-21_05-30-00,1010.9,989.2,2023-12,996.55,18064916,ICICIBANK
ICICIBANK,994.3,2023-12-22_05-30-00,1009.55,991.6,2023-12,1002.95,20881976,ICICIBANK
ICICIBANK,995.1,2023-12-26_05-30-00,997.5,989.9,2023-12,994.9,14339699,ICICIBANK
ICICIBANK,1002.25,2023-12-27_05-30-00,1004.9,992.0,2023-12,997.95,12996468,ICICIBANK
ICICIBANK,1005.9,2023-12-28_05-30-00,1011.7,999.1,2023-12,1008.0,24915990,ICICIBANK
ICICIBANK,996.6,2023-12-29_05-30-00,1008.55,993.7,2023-12,1004.05,12280140,ICICIBANK
ICICIBANK,999.4,2024-01-01_05-30-00,1004.85,991.0,2024-01,991.55,7683792,ICICIBANK
ICICIBANK,982.25,2024-01-02_05-30-00,997.65,980.25,2024-01,997.0,16263825,ICICIBANK
ICICIBANK,984.05,2024-01-03_05-30-00,988.0,975.1,2024-01,984.7,16826752,ICICIBANK
ICICIBANK,987.15,2024-01-04_05-30-00,989.15,981.9,2024-01,986.4,22789140,ICICIBANK
ICICIBANK,993.7,2024-01-05_05-30-00,998.3,983.8,2024-01,988.0,14875499,ICICIBANK
ICICIBANK,982.0,2024-01-08_05-30-00,998.2,980.3,2024-01,994.0,8393164,ICICIBANK
ICICIBANK,979.75,2024-01-09_05-30-00,995.0,975.4,2024-01,986.25,14660414,ICICIBANK
ICICIBANK,993.05,2024-01-10_05-30-00,994.95,974.3,2024-01,974.3,9409181,ICICIBANK
ICICIBANK,991.15,2024-01-11_05-30-00,998.5,986.85,2024-01,995.3,6451345,ICICIBANK
ICICIBANK,1003.5,2024-01-12_05-30-00,1008.7,991.75,2024-01,994.8,12255743,ICICIBANK
ICICIBANK,1009.85,2024-01-15_05-30-00,1011.65,999.25,2024-01,1003.5,12388044,ICICIBANK
ICICIBANK,1009.05,2024-01-16_05-30-00,1015.8,1004.6,2024-01,1006.1,11505126,ICICIBANK
ICICIBANK,981.75,2024-01-17_05-30-00,1007.8,976.75,2024-01,987.9,41914771,ICICIBANK
ICICIBANK,986.35,2024-01-18_05-30-00,994.3,970.15,2024-01,973.95,17902484,ICICIBANK
ICICIBANK,999.2,2024-01-19_05-30-00,1010.9,987.55,2024-01,991.3,23271148,ICICIBANK
ICICIBANK,1008.7,2024-01-20_05-30-00,1014.7,995.3,2024-01,1005.95,8788873,ICICIBANK
ICICIBANK,1029.05,2024-01-23_05-30-00,1059.4,1021.2,2024-01,1059.1,50797448,ICICIBANK
ICICIBANK,999.2,2024-01-24_05-30-00,1035.95,996.65,2024-01,1029.45,34578943,ICICIBANK
ICICIBANK,1009.95,2024-01-25_05-30-00,1015.1,988.15,2024-01,998.4,28315035,ICICIBANK
ICICIBANK,1016.4,2024-01-29_05-30-00,1032.0,1010.0,2024-01,1020.0,14078922,ICICIBANK
ICICIBANK,1016.9,2024-01-30_05-30-00,1023.85,1008.0,2024-01,1014.95,16085742,ICICIBANK
