Ticker,close,date,high,low,month,open,volume,symbol
SBIN,571.75,2023-12-01_05-30-00,574.2,566.55,2023-12,567.0,10614230,SBIN
SBIN,594.7,2023-12-04_05-30-00,596.0,584.55,2023-12,588.0,26077882,SBIN
SBIN,608.25,2023-12-05_05-30-00,611.3,595.05,2023-12,595.05,36430152,SBIN
SBIN,608.45,2023-12-06_05-30-00,614.0,604.55,2023-12,614.0,21439069,SBIN
SBIN,611.7,2023-12-07_05-30-00,612.55,605.0,2023-12,610.0,10725706,SBIN
SBIN,614.15,2023-12-08_05-30-00,616.8,605.35,2023-12,610.0,17722136,SBIN
SBIN,614.25,2023-12-11_05-30-00,619.9,613.1,2023-12,615.0,11706255,SBIN
SBIN,612.4,2023-12-12_05-30-00,617.95,610.8,2023-12,617.0,14494836,SBIN
SBIN,619.85,2023-12-13_05-30-00,620.5,611.65,2023-12,614.45,13977914,SBIN
SBIN,623.65,2023-12-14_05-30-00,627.75,622.4,2023-12,626.0,15813797,SBIN
SBIN,648.25,2023-12-15_05-30-00,650.0,619.85,2023-12,628.0,29813572,SBIN
SBIN,648.5,2023-12-18_05-30-00,655.65,642.4,2023-12,646.65,16221796,SBIN
SBIN,655.4,2023-12-19_05-30-00,659.6,640.25,2023-12,648.5,19964008,SBIN
SBIN,636.45,2023-12-20_05-30-00,660.4,633.95,2023-12,658.7,22542056,SBIN
SBIN,643.75,2023-12-21_05-30-00,648.95,627.5,2023-12,632.15,19915516,SBIN
SBIN,636.75,2023-12-22_05-30-00,649.4,635.15,2023-12,644.75,14998068,SBIN
SBIN,638.05,2023-12-26_05-30-00,641.3,635.65,2023-12,638.85,10153089,SBIN
SBIN,648.55,2023-12-27_05-30-00,649.45,639.0,2023-12,640.75,14417646,SBIN
SBIN,651.4,2023-12-28_05-30-00,653.3,646.5,2023-12,650.25,16982092,SBIN
SBIN,642.05,2023-12-29_05-30-00,649.6,639.55,2023-12,645.5,13221898,SBIN
SBIN,641.35,2024-01-01_05-30-00,646.9,638.0,2024-01,642.2,8295548,SBIN
SBIN,639.45,2024-01-02_05-30-00,648.0,633.85,2024-01,641.35,15164482,SBIN
SBIN,643.45,2024-01-03_05-30-00,648.0,635.8,2024-01,639.35,14571772,SBIN
SBIN,642.75,2024-01-04_05-30-00,646.4,638.65,2024-01,642.5,13883388,SBIN
SBIN,641.95,2024-01-05_05-30-00,651.75,637.75,2024-01,645.0,15984585,SBIN
SBIN,627.0,2024-01-08_05-30-00,645.0,625.05,2024-01,640.0,14739531,SBIN
SBIN,625.4,2024-01-09_05-30-00,634.35,624.5,2024-01,632.0,13400235,SBIN
SBIN,621.75,2024-01-10_05-30-00,625.3,618.2,2024-01,624.8,12742464,SBIN
SBIN,620.2,2024-01-11_05-30-00,627.15,618.5,2024-01,626.0,15533860,SBIN
SBIN,633.6,2024-01-12_05-30-00,636.5,621.1,2024-01,623.8,16620797,SBIN
SBIN,640.1,2024-01-15_05-30-00,645.5,636.1,2024-01,638.9,16844018,SBIN
SBIN,636.9,2024-01-16_05-30-00,644.9,633.45,2024-01,640.0,15025543,SBIN
SBIN,626.0,2024-01-17_05-30-00,636.8,623.0,2024-01,624.0,30016308,SBIN
SBIN,628.3,2024-01-18_05-30-00,633.45,619.05,2024-01,625.8,14695436,SBIN
