symbol,start_price,end_price,yearly_return,sector
ADANIENT,2362.7,2228.0,-5.701104668387854,Conglomerate
ADANIPORTS,827.8,1136.75,37.321816863976814,Transport
APOLLOHOSP,5591.15,6935.1,24.03709433658551,Healthcare
ASIANPAINT,3173.4,2472.2,-22.0961744501166,Consumer
AXISBANK,1104.65,1142.4,3.4173720182863345,Banking
BAJAJ-AUTO,6046.05,9481.65,56.82387674597463,Automobile
BAJAJFINSV,1685.95,1600.85,-5.04759927637238,Financials
BAJFINANCE,7259.35,6683.95,-7.926329492309925,Financials
BEL,147.45,280.85,90.47134621905734,
BHARTIARTL,1014.7,1569.3,54.65654873361584,Telecom
BPCL,219.0,285.85,30.525114155251153,Energy
BRITANNIA,4970.75,4848.35,-2.462405069657489,Consumer
CIPLA,1205.7,1486.5,23.28937546653396,Pharma
COALINDIA,346.65,414.05,19.443242463579992,Energy
DRREDDY,1149.88,1214.45,5.61536856019758,Pharma
EICHERMOT,3891.2,4986.2,28.14041940789474,Automobile
GRASIM,2008.07,2598.65,29.41032932118901,Manufacturing
HCLTECH,1336.7,1898.4,42.02139597516272,IT
HDFCBANK,1555.4,1745.6,12.228365693712217,Banking
HDFCLIFE,682.15,688.2,0.8869017078355301,Insurance
HEROMOTOCO,3760.0,4794.1,27.502659574468098,Automobile
HINDALCO,517.2,652.1,26.082753286929616,Metals
HINDUNILVR,2563.65,2445.25,-4.618415150274027,Consumer
ICICIBANK,946.7,1278.05,35.000528150417225,Banking
INDUSINDBK,1461.05,998.2,-31.679271756613392,Banking
INFY,1452.3,1902.25,30.98189079391311,IT
ITC,449.8,474.65,5.524677634504217,Consumer
JSWSTEEL,810.8,977.35,20.54144055254071,Metals
KOTAKBANK,1750.5,1761.45,0.6255355612682116,Banking
LT,3190.65,3603.5,12.93936972090326,Infrastructure
M&M,1625.5,3012.95,85.3552752999077,Automobile
MARUTI,10585.7,11063.6,4.5145809913373665,Automobile
NESTLEIND,2433.86,2247.3,-7.665190273885923,Consumer
NTPC,268.95,365.45,35.88027514407883,Energy
ONGC,194.55,245.6,26.240041120534556,Energy
POWERGRID,210.2,336.95,60.29971455756423,Energy
RELIANCE,1197.15,1265.4,5.70103996992858,Energy
SBILIFE,1423.65,1485.15,4.3198819934674955,
SBIN,571.75,816.05,42.72846523830345,Banking
SHRIRAMFIN,2003.25,2850.05,42.27130912267566,
SUNPHARMA,1231.25,1795.3,45.81116751269035,Pharma
TATACONSUM,931.27,945.2,1.4958068014646733,Consumer
TATAMOTORS,705.45,791.0,12.127011127649011,Automobile
TATASTEEL,130.0,142.78,9.830769230769231,Metals
TCS,3511.65,4244.6,20.871954779092455,IT
TECHM,1220.55,1747.45,43.1690631272787,IT
TITAN,3489.5,3308.7,-5.181258059893973,Consumer
TRENT,2807.7,6652.8,136.94839192221394,
ULTRACEMCO,9033.85,11375.3,25.91862827033877,Cement
WIPRO,407.65,571.65,40.23058996688336,IT
